"UNIT_KG","Kilogramm (kg)"
"UNIT_LBS","Pound (lbs)"
"UNIT_G","Gramm (g)"
"UNIT_MG","Milligramm (mg)"
"UNIT_L","Liter (l)"
"UNIT_ML","Milliliter (ml)",
"UNIT_M","Meter (m)",
"UNIT_IN","Zoll (Inch)"
"UNIT_CM","Zentimeter (cm)"
"UNIT_MM","Millimeter (mm)"
"UNIT_PCS","Stück (St)"
"UNIT_SHORT_KG","Kg"
"UNIT_SHORT_LBS","Lbs"
"UNIT_SHORT_G","Gr"
"UNIT_SHORT_MG","Mg"
"UNIT_SHORT_L","L"
"UNIT_SHORT_ML","Ml",
"UNIT_SHORT_M","M",
"UNIT_SHORT_IN","Zoll"
"UNIT_SHORT_CM","Cm"
"UNIT_SHORT_MM","Mm"
"UNIT_SHORT_PCS","St"
"The product unit amount must be greater the zero","Die Menge der Produkteinheit muss größer Null sein!"
"Conversion rate not found for %s to %s","Umrechnungsfaktor nicht gefunden für %s nach %s!"
"Reference unit not set","Die Referenz Einheit ist nicht gesetzt!"
"Reference amount not set","Die Referenz Menge ist nicht gesetzt!"
"Baseprice Extension","Basispreis Erweiterung"
"Disable BasePrice Extension","Erweiterung deaktivieren"
"The default packaging unit to use on products for the base price (can be set on a product level, too)","Die Standard-Packungseinheit für die Grundpreisberechnung (kann auch für jedes Produkt eingestellt werden)"
"The default reference unit for the base price (can be set on a product level, too)","Die Standard-Referenzeinheit für die Grundpreisberechnung Berechnung (kann auch für jedes Produkt eingestellt werden)"
"The default reference amount for the reference unit (can be set on a product level, too)","Die Standard-Referenzmenge für die Referenzeinheit (kann auch für jedes Produkt eingestellt werden)"
"The Baseprice amount must be a numeric value","Die Grundpreis Menge muss ein numerischer Wert sein"
"The Baseprice amount must greater then zero","Die Grundpreis Menge muss größer Null sein"
"Amount in product","Produktmenge"
"Leave empty to hide the display", "(leerlassen für keine Grundpreisanzeige)"
"Unit of product","Produkteinheit"
"Reference amount","Referenzmenge"
"Reference unit","Referenzeinheit"
"The product settings where not saved","Die Produkteinstellungen wurden nicht gespeichert"
"Frontend Label","Frontend Label"
"What the customer sees","Was der Kunde sieht"
"Short frontend Label","Kurzes Label"
"What the customer sees in the product list view (if configured)","Was der Kunde in der Produktliste sieht (wenn konfiguriert)"
"Calculate the base price based on the product price including tax","Bestimme Basispreis aufgrund des Produktpreises inklusive Steuern"
"Automatically append the baseprice block to the price on the product view","Zeige Basispreise automatisch nach den Produktpreisen an (Produktdetails)"
"Please install the BasePrice extension in order to use the BasePricePro extension!","Bitte installieren Sie die BasePrice Erweiterung um die BasePricePro Erweiterung zu nutzen!"
