"German Store Configuration for Magento CE","Deutsche Shopkonfiguration für Magento CE"
"Magento DE","Magento DE"
"Please enter your data:","Bitte geben Sie Ihre Daten ein:"
"Shop Data","Shop-Daten"
"Magento was prepared successfully.","Magento wurde erfolgreich vorbereitet."
"Your data was saved successfully.","Ihre Daten wurden erfolgreich gespeichert."
"After completion of this order, please transfer the order amount to: %s, Account %s, Bank number %s, %s (IBAN %s, SWIFT %s)","Unsere Bankverbindung: %s, Kto. %s, BLZ %s, %s (IBAN %s, SWIFT %s)."
"PayPal Merchant Account Email Address","Email-Adresse des PayPal-Händleraccounts"
"Default Category","Standard-Kategorie"
"Display Logo in Header","Logo im Header anzeigen"
"Display Entry in Menu","Menü-Eintrag anzeigen"
"optional","optional"
"Dashboard","Dashboard"
"Partners","Partner"
"Recommendations","Empfehlungen"
"Data Transfer","Datenübertragung"
"Allow Data Transfer","Datenübertragung zulassen"
"I don't want any data transfer.","Ich möchte, dass keine Übertragung erfolgt."
"Minimum Data Transfer (basic)","Minimale Datenübertragung (basic)"
"Optimum Data Transfer (advanced)","Optimale Datenübertragung (advanced)"
"None","Keine"
"Basic","Basic"
"Advanced","Advanced"

"FireGento German Setup","FireGento German Setup"
"Extension Setup","Extension-Setup"
"Tax Settings","Steuereinstellungen"
"Checkout Agreements","Bestellbedingungen"

"FireGento PDF","FireGento PDF"

"Autoshipping","Autoshipping"

"Cash On Delivery","Nachnahme"

"Debit","Bankeinzug"
"Bank Data Setup","Bankdaten-Einrichtung"

"Remove Customer Account Links","Kundenkonto-Links entfernen"

"Configuration","Konfiguration"

"Display Copyright Notice in Imprint","Copyright-Hinweis im Impressum anzeigen"
"<a href=""%s"" target=""_blank"">Magento DE</a> is a project of the Magento community powered by <a href=""%s"" target=""_blank"">Netresearch App Factory</a> &amp; <a href=""%s"" target=""_blank"">integer_net</a>","<a href=""%s"" target=""_blank"">Magento DE</a> ist ein Projekt der Magento Community powered by <a href=""%s"" target=""_blank"">Netresearch App Factory</a> &amp; <a href=""%s"" target=""_blank"">integer_net</a>"
